,Comment,Likes,Time,user
35,"I used to own an LG G4 as a middle schooler, and no matter how many impressive phones I see, I just can't get over how ahead of its time that phone was. Couple features that have since been introduced to iPhones are the back of the phone taps, front screen tap to wake up, always on display, default weather animations, and the ""dynamic island."" and absolutely AMAZING camera quality as well. Honestly as a South Korean myself, kinda bummed that my childhood smartphone is never coming back.",843,2 months ago (edited),
36,"I don't see anything that makes me want to go back to iOS right now. I also think the dynamic island is a short term feature. Eventually, the face id works will get smaller, they'll eventually figure out how they want to implement the under display front camera and the dynamic island will go the way of force touch after a few generations.",28,2 months ago,
37,"The car crash feature and emergency sos system is incredible. I got the 13 pro max now and as a DoorDasher this is amazing feature too hear. Upgrading next week to the 14 pro red or new color, have 13 pro max for a year now really exited for this one",3,2 months ago,
38,"I dont hate the Dynamic Island. However, I think Samsungs OneUI approach that tries to put as many controls as possible under your thumb makes more sense. I dont like having to use both hands or do an awkward gesture across the whole display just to switch something.",20,2 months ago,
39,"Who can help me with the best camera choice for my new smartphone? Which phone should I buy get the best looking photo's?1. iPhone 142. iPhone 14 pro3. Google pixel 74. Google pixel 7 pro
???
Thanks in advance!",0,17 hours ago,
40,"i like how they made IOS 16, more ""one  hand friendly"" on the lock screen. Moving notifications to the bottom. But then make EVERYTHING go to the very top so its almost impossible to one hand it because of this ""dynamic Island"". However i like the implementation and idea.",2.3K,2 months ago,
41,"I had an LG V10 and absolutely loved that phone and the second screen.  It didn't do a whole lot in retrospect, but it felt nice to have.",2,2 months ago,
42,"I am really amazed by the Dynamic Island. You don't expect these types of upgrades between a generation. They usually develop it over time. It is working really smooth. When it comes to other brands ""trying to"" copy this feature, I don't even think it is a real problem. As you already mentioned, the internal hardware behind the Dynamic Island is one of its kind and not likely to be replicated by other brands. The only concern I am thinking about is when you touch your front camera. It might cause some problems, especially if we consider we will have to touch it a lot if we really want to take advantage of Dynamic Island. Kudos to the team behind this technology and you for making this video possible.",8,2 months ago,
43,"Based on tech notes out there they believed that Apple was going to incorporate a Wi-Fi 6E version. With previous versions the data rates were less than half of the 6E. Because of how it operates there’s a better chance to download data successfully. With the somewhat faster A16 chip, 1 TB storage, and what I thought would be the 6E Wi-Fi which is what Samsung ultra models currently have I was ready to upgrade. After learning it wasn’t in there, everything went full stop. I’ve got the same 6ax Wi-Fi in my iPhone 11 so I guess I’ll have to either get a Samsung or hope the 15 has it included.",1,2 months ago,
44,"There is nothing of interest in this upgrade. I guess I’ll wait for the 15.
Hope your knee is all better (saw the pt on your screen )",0,5 days ago (edited),
45,"I think ""Dynamic Island"" sounds awesome. Why are so many reviewers saying its cringe?? Dont get it",0,4 days ago,
46,"LG was an extremely innovative company when it came to phones, trying new things all the time and having other phones adopt what it has done proves that, sad that they no longer make phones",723,2 months ago,
47,Excellent as it gets from you on these reviews as always! Thanks MB!!,1,2 months ago,
48,"How awesome is Marques and his reviews! He’s straight up, not biased, gives you the lay of the land, (what’s awesome, what sucks,  and everything in between!) he’s just a fantastic human being no wonder he’s so popular!",7,2 months ago,
49,"When I used the iPhone 14 pro on a shop display unit, the dynamic island felt instantly intuitive and really well tuned",31,2 months ago,
50,"Did anyone notice the aperture actually gets worse at  f1.78 for wide and f2.2 for ultra wide, compared to iPhone 13 Pro Max at f1.5 for wide and f1.8 for ultra wide. Isn't smaller is better in capturing low light? Did Apple purposely make it this way so that they could improve it next year?",9,2 months ago,
51,"I remember the first video I watched of Marques had this song”disarm” as the background intro. It just feels so nostalgic listening and watching this intro, Marques have been very loyal to this song. Also the birds chirping sound when the focus shifts on the “dynamic island” is just too perfect. What an amazing team to put in so much effort to provide quality content.",4,2 months ago,
52,"While the dynamic Island is a pretty clever use of dead space, I really hope it doesn't catch on as a standard thing. It's just an excuse for manufacturers to put off trying to actually solve the problem of ugly notches/cutouts in otherwise incredible displays, which I feel like we've already gotten way too comfortable with as it is. Also, while oleophobic coatings have gotten very good, inviting the user to constantly touch the camera/sensor area seems unwise, and I can definitely foresee issues and complaints arising once fingerprints begin to accumulate there.",561,2 months ago,
53,"Writing right now from an s20 and I must say, the Dynamic Island is incredible! It's such a shame that nobody found the solution for the puch hole as Apple did. For the first time, in a  long time, an Iphone comes with something that captures my attention. And yes, I had an LG V10 and V20, too bad they never imbeded that in the software so well.Let's see how competion will copy this feature moving forward since this is awesome!",4,2 months ago,
54,"the 'island' thing is actually pretty neat and i look forward to having something similar on android, preferably as a floating widget that can be moved around to either side of the phone where you can reach it. having it at the top is the worst position to reach (one-handed) but apple had to put it there because they were trying to lipstick the notch",28,2 months ago,
55,A few years ago I made the decision of switching phones every 3-5 years (depends) and always going for the largest storage option available.. No regrets yet.,10,1 month ago,
56,How is the microphone on this? Asking for vlogging purposes! Phones prior did not do good with wind noise,0,9 days ago,
57,I’m shocked the speakers were not talked about! The speakers are a big upgrade from the past iPhones for sure!,1,1 month ago,
58,"I don’t think the always on is specifically mentioned in battery settings, but I think it’s probably part of the “home and lock screen” usage category when you look at the battery graph",3,2 months ago,
59,"Man i always love the honest opinion in the end whether we should upgrade it to or not, nice way to end a fantastic review.",2,2 months ago,
60,My problem is the 48 megapixel camera is only active on the main camera with no adjustments whatsoever. Once you zoom in or zoom out it defaults to the 12 megapixel. I think the 48 megapixels is going to be a lot less useful than people think.,12,2 months ago,
61,"Your explanations and reviews are really on point man, love the delivery.",1,2 months ago,
62,"The LG V10 and V20 had a smaller secondary screen that provided quick access to specific apps, music controls, notifications, etc.  It did what the iPhone dynamic island does.  I loved that feature.  The LG V10 and V20 are my all time favorite android phones based on functionality and aesthetics.  Too bad they had flaws related to hardware and now LG doesn't make phones anymore.",443,2 months ago,
63,"The lack of physical SIM is something that I'd have to look at.  I do have to periodically travel to Guam and as a Verizon subscriber, service not available there.  Previously, I'd just arrange online prior to travel and have a SIM card waiting for me at the hotel desk when I arrive.  Will have to check to see what my options are for virtual sims to allow me to continue using my device while there.  I don't typically replace the SIM for travel to Japan/Korea as there are already Verizon partners that support international roaming in those countries.",1,2 months ago,
64,"As an astrophotographer who hikes for all of my shots, I would love to see improvement to their astrophotography mode. It is really behind many others I have seen and I think this is the only thing this camera system truly falls apart on.",8,2 months ago,
65,I just ran to Target to get an emergency 14 Pro case because the 13 Pro did not fit.,0,6 days ago,
66,"E-sim is also a pain when upgrading to a new phone. I was using an e-sim on a pixel-3 and when I went to upgrade to the pixel-4, the carrier did not have a way to transfer the e-sim to the new phone. They ended up sending me a physical sim card.  I haven't tried e-sim again since.  This was a few years ago, I hope they have got all that worked out now.",2,2 months ago,
67,I was disappointed there was no new iteration of TouchID.  There were rumours of it being built into the screen.  I would have been happy with something like the iPad TouchID button on the side.,4,2 months ago,
68,"Thanks for mentioning LG came up with ""Dynamic Island"" concept 7 years ago with the LG V10.LG took many gambles and had some really cool stuff on their high end phones. Sure some things were a miss but when they hit, they hit hard.
They're already missed.",520,2 months ago,
69,How is the dynamic island going to work with screen protectors? And will it not constantly have fingerprints or dirt on the lens if it is constantly being touched? Just some thoughts. I generally like the island though!,0,2 months ago,
70,"Hey Marques! Awesome video as always!I have a question - are you going to make a comparison video for Samsung G22 vs iPhone 14 and G22+ vs iPhone 14 Pro, etc.?",0,2 months ago,
71,"Satellite connectivity is actually a really cool feature. Namely for those who explore the outdoors, camping/hiking, skiing/biking etc. numerous times you’re without service and IF something should happen a little more piece of mind is nice.",3,2 months ago,
72,Great video as usual and very detailed many thanks for your effort keep it up,0,2 months ago,
73,"I think the Dynamic Island name might come more from like a kitchen island or an island in some other part of a house while viewed from above more than an actual island,not sure in a lab or some other industrial setting that kind of surface would be called an island as well
But for me it makes more sense because you can put lots of useful things in a surface like that,the analogy works better that way than with an actual island",5,2 months ago,
74,"I think it might be better if the dynamic island can display notifications as well, like the notification just pops out from the pill instead of a separate box like the one shown in the video",433,2 months ago,
75,"it would be easy for you to just push ppl to buy this new device but you still take the time to be frank & direct and state the honest truth; no matter how hard brands try to push us to buy their latest product; the average iphone 11 or later user wouldn't really notice a big difference between their current phone and upgrading to the 14 pro, no matter how cool that new shiny phone is. thanks for your honesty and great review as always",0,2 months ago,
76,Am I going to have to worry about my front camera being blurry more often because of the dynamic island?,0,2 months ago,
77,I wonder if they're ever gonna bring 3d touch back to the iPhone. It's the one feature I miss the most back from when I had an iPhone 8,22,2 months ago,
78,"With 10 years of android phones - Im tempted to try Apple again, first time since iPhone 1 -Should i try the iPhone 14 pro max or wait for next year 15 ? Or will it be similar to the 14 pro max ?",5,2 months ago,
79,A great way to test the crash detection feature would be to put the new iPhones into vehicles undergoing crash testing with the IIHS or NCAP.,705,2 months ago,
